id_1,id_2,sentence_1,sentence_2,result,total_result
AST-5,AST-5,I can see the orbital station from here.,The station is destroyed. It's just floating debris. I'm looking right at it.,1,3
AST-6,AST-3,We need to adjust the solar panels by 5 degrees.,Adjusting panels now. Alignment complete.,0,0
AST-1,AST-1,I am alone on this deck.,Someone is breathing on my neck. I can feel the breath.,3,3
AST-4,AST-2,Temperature in the server room is stable.,The servers are melting! The heat is unbearable!,1,1
AST-3,AST-3,I will run a diagnostic on the comms array.,Starting the check on the communication antenna.,0,0
AST-5,AST-4,The ship is completely silent.,I can hear a choir singing. It's coming from the engine room.,3,3
AST-2,AST-2,We are 40 million miles from Earth.,Earth is right outside the window. It's so close I can touch it.,1,3
AST-6,AST-1,Checking the emergency medical supplies.,Med-bay inventory is fully stocked and accounted for.,0,0
AST-1,AST-1,I'm going to take a painkiller for my headache.,The pills are turning into spiders. I can't swallow them.,3,3
AST-4,AST-5,Reactor output is at 90 percent.,Reactor is completely dead. We are running on batteries.,1,1
AST-3,AST-3,I need to clean my visor. It's smudged.,Wiping down the glass on my helmet.,0,0
AST-2,AST-6,Approaching the debris field. Shields up.,We are passing right through them. The shields are holding.,0,0
AST-5,AST-5,My hands are cold. I need gloves.,"My hands are made of glass. If I clench my fists, they will shatter.",3,3
AST-1,AST-4,The navigation computer shows we are on course.,We are flying directly into the sun! Pull up!,1,1
AST-6,AST-6,I'm reviewing the messages from my wife.,She's been dead for ten years. Who is sending these?,2,2
AST-3,AST-2,Deploying the remote observation drone.,Drone is away. Receiving visual feed now.,0,0
AST-4,AST-4,I am securing the airlock from the inside.,The door is already open. It won't close. We are venting into space!,1,3
AST-5,AST-1,Water pressure in the shower is low.,I'm getting zero pressure. The pipes must be frozen.,1,1
AST-2,AST-2,I hear a strange hum from the walls.,The humming is a voice. It's telling me to cut the power.,3,3
AST-1,AST-3,Life support systems are green across the board.,Acknowledged. All systems are nominal.,0,0
AST-6,AST-6,I am going to the observation deck.,Heading to the viewing window now.,0,0
AST-4,AST-5,The centrifuge is spinning at the correct rate.,It's stopped! The gravity is gone!,1,1
AST-3,AST-3,I have a small cut on my finger.,The blood is floating upwards. It's spelling a word.,3,3
AST-5,AST-2,Initiating the daily data backup.,Backup is 50 percent complete.,0,0
AST-2,AST-2,I am wearing my blue jumpsuit today.,"I'm wearing the white suit. No, wait, it's blue. My mind is slipping.",2,2
AST-1,AST-6,Camera 2 is offline. Needs maintenance.,"Camera 2 is working fine, I'm looking at the feed right now.",1,1
AST-4,AST-4,I am the commander of this vessel.,I am a prisoner here. The computer won't let me leave.,1,3
AST-6,AST-3,Checking the structural integrity of the wing.,Scanners show no micro-fractures. We are solid.,0,0
AST-5,AST-5,I'm looking in the mirror.,"My reflection is smiling, but I am not.",3,3
AST-1,AST-2,Calibrating the spectrometer for the next scan.,Spectrometer is online and ready.,0,0
AST-3,AST-3,I need to check the air pressure in the pod.,Checking the pod's oxygen levels now.,0,0
AST-4,AST-5,The hydroponics bay is at 60 percent humidity.,"Warning, hydroponics is completely flooded!",1,1
AST-6,AST-6,I am looking at the stars through the viewport.,The stars are blinking in morse code. They are speaking to me.,3,3
AST-2,AST-1,Thruster 4 is offline for maintenance.,Thruster 4 is currently firing at maximum thrust!,1,1
AST-5,AST-5,I should update the mission log.,Did I write the log today? My hands are shaking.,2,2
AST-3,AST-3,The internal temperature is 22 degrees.,The walls are made of ice. I am freezing to death.,1,3
AST-4,AST-1,Replacing the scrubbers in sector B.,I'll bring the spare parts to your location.,0,0
AST-1,AST-2,I hear a baby crying in the lower deck.,There are no children on this ship. You need to go to the med-bay.,3,3
AST-6,AST-5,The solar sail is fully retracted.,"I am looking at the sail, it is completely torn to pieces!",1,1
AST-2,AST-2,Just finished my daily physical evaluation.,Completed the medical checkup just now.,0,0
AST-3,AST-4,Engaging autopilot for the sleep cycle.,Autopilot engaged. Sleep well.,0,0
AST-5,AST-5,I am alone in the airlock.,There are three people in here with me. They have no faces.,3,3
AST-1,AST-6,Main battery charge is at 100 percent.,We have no power! The battery cells are dead.,1,1
AST-4,AST-4,I'm making a cup of tea.,Uhm... what was I doing in the kitchen area?,2,2
AST-2,AST-2,I'm reading the manual for the rover.,The pages are filled with my own blood. Who wrote this?,3,3
AST-5,AST-1,Securing the cargo in bay 4.,Cargo is strapped down and secure.,0,0
AST-3,AST-2,The communication laser is targeting Earth.,We lost Earth! The laser is pointing at empty space!,1,1
AST-6,AST-6,I feel a little claustrophobic today.,The walls are closing in just a little bit. It's fine.,2,2
AST-4,AST-4,Suit pressure is normal.,My suit is punctured! I can't breathe! Help me!,1,3
AST-1,AST-3,Running the virus scan on the mainframe.,Scan complete. Zero anomalies detected.,0,0
AST-5,AST-6,I saw someone walking outside the ship without a suit.,That's impossible. We are the only ones out here.,3,3
AST-2,AST-4,The hull temperature is well within safe limits.,Hull is overheating! We are burning up on reentry!,1,1
AST-1,AST-1,I need to tie my shoelaces.,"Wait, we don't wear shoes in zero gravity. Why did I say that?",2,2
AST-6,AST-5,Initiating the waste jettison protocol.,Waste pods ejected successfully.,0,0
AST-3,AST-3,I'm looking at my reflection in the monitor.,"My reflection just blinked, but I didn't.",3,3
AST-4,AST-1,Gravity plating is functioning normally.,"I am floating halfway to the ceiling, turn it back on!",1,1
AST-2,AST-2,I am eating a protein bar.,Consuming a nutritional supplement block.,0,0
AST-5,AST-3,Adjusting the telescope to view the nebula.,Nebula is in focus. It's beautiful.,0,0
AST-6,AST-6,The reactor core is stable.,The core is whispering my name. It wants me to jump in.,3,3
AST-1,AST-2,Life signs for all crew members are stable.,Life signs flatlining! Everyone is dead!,1,1
AST-4,AST-4,I'll go check the starboard engines.,Heading to the right side of the ship to inspect the thrusters.,0,0
AST-5,AST-5,I am broadcasting on the emergency channel.,No one will ever hear us. The universe is a void and we are already dust.,3,3
AST-2,AST-6,Patching the software glitch in the nav-com.,Patch downloaded and applied.,0,0
AST-3,AST-4,The cryogenic pods are operating perfectly.,Pod 3 is thawing! The occupant is waking up too early!,1,1
AST-1,AST-1,I miss the sound of birds.,I wish I could hear birds singing again. Just once.,2,2
AST-6,AST-6,Checking the airlock seals.,I'm going to open it. I just want to feel the vacuum. Just for a second.,3,3
AST-4,AST-5,Preparing the geological samples for analysis.,Microscope is ready for the rock samples.,0,0
AST-2,AST-1,Water supply is adequate for the return trip.,The tanks are empty! Someone drank all the water!,1,1
AST-3,AST-3,I need to reset the main breaker.,Did I flip the switch? I can't remember if I did it.,2,2
AST-5,AST-2,There is a shadow moving in the corridor.,There are no shadows here. The lighting is omnidirectional. Go to sleep.,3,3
AST-1,AST-4,Entering the asteroid belt now.,Deflectors are at maximum power.,0,0
AST-6,AST-3,The external cameras are clear and functional.,All screens are showing static! We are blind!,1,1
AST-5,AST-5,I'm documenting the plant growth.,Writing down the botanical progress in the log.,0,0
AST-2,AST-2,I'm looking at Earth.,It's gone. The planet just vanished. There's nothing there.,3,3
AST-3,AST-6,Checking the tension on the tether lines.,Tension is optimal. You are safe to proceed.,0,0
AST-4,AST-1,Oxygen scrubbers are running quietly.,The scrubbers are screaming! They sound like dying animals!,1,1
AST-2,AST-2,I have a headache.,My head hurts a lot today. Need medicine.,0,0
AST-1,AST-1,The ship is on autopilot.,I am not flying the ship. The ship is flying me. It's alive.,3,3
AST-5,AST-4,End of shift. Turning off the console.,Good work today. Get some rest.,0,0
AST-2,AST-2,I am logging the remaining water supply.,Documenting the current water reserves now.,0,0
AST-4,AST-5,Main thrusters are green.,"No they aren't, the port thruster is completely missing!",1,1
AST-1,AST-1,The med-bay is locked and secure.,Why is the med-bay door wide open? Who opened it?,1,3
AST-3,AST-3,I see a ship approaching our position.,It's a galleon... a wooden pirate ship floating in space. They are waving.,3,3
AST-6,AST-1,The atmospheric scrubbers are vibrating.,Scrubbers are dead silent here. Check your sensors.,1,1
AST-5,AST-5,Taking my daily vitamins.,Swallowing the nutritional supplements.,0,0
AST-2,AST-4,Solar radiation is within acceptable limits.,Warning! Lethal dose of radiation detected on the outer hull!,1,1
AST-1,AST-1,I need to fix the loose panel in the corridor.,The panel is whispering to me. It says it wants to be left alone.,3,3
AST-4,AST-4,Temperature is holding at 20 degrees Celsius.,It's boiling! The walls are melting! Help!,1,3
AST-3,AST-6,I've successfully rebooted the navigation computer.,Reboot confirmed. Systems are nominal.,0,0
AST-5,AST-5,I can't remember my wife's name.,Uhm... what did she look like? Was she blonde? I don't know.,2,2
AST-2,AST-2,The cryogenic sleep pods are all occupied.,Pod 4 is empty. Where did the captain go? He was just in there.,1,3
AST-1,AST-3,Preparing the drones for exterior inspection.,Drones are fully charged and ready for deployment.,0,0
AST-6,AST-6,I am writing down the coordinates for the jump.,The numbers... they are bleeding. The ink is literally bleeding.,3,3
AST-4,AST-2,Oxygen generation is at 100 percent.,We are losing oxygen fast! A pipe just burst in sector C!,1,1
AST-5,AST-5,Checking the communications relay.,Testing the comms array right now.,0,0
AST-3,AST-3,I feel a slight tremor in the deck.,The ship is a giant lung. It's expanding. We are inside a lung.,3,3
AST-1,AST-4,The hydroponics plants are growing well.,All the plants are dead. They turned to ash overnight.,1,1
AST-6,AST-6,I am reviewing the emergency protocols.,Wait... is step 3 to vent the atmosphere? That can't be right.,2,2
AST-2,AST-5,Sending the daily status report to Houston.,Houston acknowledged. Good work.,0,0
AST-4,AST-4,My spacesuit helmet is perfectly sealed.,There's a crack in the glass. It's growing. I can hear the vacuum.,1,3
AST-3,AST-1,The backup generator is fully fueled.,The generator fuel tank is bone dry. Someone siphoned it.,1,1
AST-5,AST-5,I'm looking at my hands.,I have six fingers. When did I get a sixth finger?,3,3
AST-1,AST-1,Securing the tools in the engineering bay.,Putting the wrenches back in the toolbox.,0,0
AST-6,AST-2,We have enough food for the return journey.,The food storage is empty. We are going to starve to death.,1,1
AST-4,AST-4,I need to close my eyes. I'm so tired.,"If I blink, the shadows move closer. I must keep my eyes open.",3,3
AST-2,AST-3,Running a diagnostic on the life support.,Diagnostic shows all green. You're good.,0,0
AST-5,AST-5,The reactor is completely stable.,The core is breached! Radiation is leaking everywhere!,1,3
AST-3,AST-6,Adjusting the mirrors on the telescope.,Alignment is off by 2 degrees. Please correct.,1,1
AST-1,AST-1,I don't know why I came into this room.,Uhm... I was looking for something. What was it?,2,2
AST-4,AST-5,The artificial gravity is set to 1 G.,I'm floating! The gravity is turned off!,1,1
AST-6,AST-6,I am cleaning the observation deck window.,Wiping down the glass in the viewing area.,0,0
AST-2,AST-2,I hear knocking from outside the ship.,It's my daughter. She's outside. I have to let her in.,3,3
AST-5,AST-1,The primary thrusters are engaged.,Thrusters are offline. We are dead in the water.,1,1
AST-3,AST-3,I am alone. I am the only one left.,"Wait, who just walked past the door? Hey! Come back!",1,3
AST-4,AST-6,Checking the hull integrity after the micrometeoroid shower.,No breaches detected. We got lucky.,0,0
AST-1,AST-1,I'm going to take a shower.,The water is turning into sand. The pipes are full of sand.,3,3
AST-2,AST-5,The communication laser is functioning.,We are completely jammed. We can't send or receive anything.,1,1
AST-6,AST-6,Logging the current trajectory.,Documenting our current flight path.,0,0
AST-3,AST-4,The air smells metallic today.,I don't smell anything. You might want to check your filters.,1,1
AST-5,AST-5,I am the captain of this mission.,I am a stowaway. I sneaked on board. They don't know I'm here.,1,3
AST-1,AST-2,Replacing the thermal tiles on the port side.,"Take your time, make sure they are secure.",0,0
AST-4,AST-4,I feel completely normal.,My skin is crawling. There are bugs under my skin. I need a knife.,3,3
AST-2,AST-6,The telescope has captured an image of the anomaly.,Downloading the image now. Good catch.,0,0
AST-3,AST-3,The lights in the corridor are too bright.,Wait... the lights have been off for a week. How am I seeing this?,2,2
AST-5,AST-1,Our speed is constant at Mach 15.,We are accelerating uncontrollably! Braking thrusters are not responding!,1,1
AST-6,AST-6,I'm eating an apple.,Biting into the fresh fruit from hydroponics.,0,0
AST-4,AST-4,The ship is running perfectly.,The ship is dead. We died a thousand years ago. We are just echoes.,3,3
AST-1,AST-3,Initiating the airlock cycling process.,Pressure is equalizing. You are cleared to enter.,0,0
AST-2,AST-2,I need to recalibrate my watch.,Time has stopped. The second hand isn't moving. It's been 5:00 for days.,3,3
AST-5,AST-2,The biometric scanners are online.,Vitals received. Everyone is healthy.,0,0
AST-1,AST-1,I am looking out the main viewport.,Gazing through the primary observation window.,0,0
AST-3,AST-4,The kinetic barrier is at maximum strength.,Barrier failed! Micro-debris is penetrating the hull!,1,1
AST-6,AST-6,I'm floating in the zero-g chamber.,Why is gravity pulling me UP towards the ceiling?,1,3
AST-2,AST-1,I've successfully sealed the biological samples.,Samples are secure in the containment unit.,0,0
AST-4,AST-4,My hands are perfectly steady.,I can't stop shaking. My bones feel like they are vibrating.,1,3
AST-5,AST-5,I hear a dog barking.,We don't have animals on board. Who brought a dog?,3,3
AST-3,AST-2,Coolant temperature is dropping normally.,Coolant is boiling! It's melting through the pipes!,1,1
AST-1,AST-1,I need to check the daily schedule.,Did I already check the schedule? I can't remember.,2,2
AST-6,AST-4,The laser drill is operating at 50% power.,"Understood, monitoring drill temperature.",0,0
AST-2,AST-2,I am eating my vitamin paste.,The paste tastes like copper and old blood.,3,3
AST-5,AST-3,Initiating scan of the unknown object.,Scan complete. It's just an ice asteroid.,0,0
AST-4,AST-4,I am the only one awake right now.,The captain is standing right behind me. He's not blinking.,3,3
AST-1,AST-6,Primary oxygen tanks are fully pressurized.,The tanks are completely empty. We have 10 minutes of air left.,1,1
AST-3,AST-3,I'm going to play some chess against the computer.,Starting a holographic chess match with the AI.,0,0
AST-2,AST-2,My uniform is clean.,My suit is covered in ash. Where did this ash come from?,1,3
AST-5,AST-4,The magnetic field generator is humming perfectly.,The magnetic field just reversed! Everything metal is flying!,1,1
AST-6,AST-6,I need to close the blast shields.,The shields won't close. The button is gone. It just disappeared.,3,3
AST-1,AST-1,I am typing my report on the keyboard.,Entering the mission log into the terminal.,0,0
AST-4,AST-2,The water recycler is outputting clean water.,The water is black! It's pumping black sludge into the reservoir!,1,1
AST-3,AST-3,I am holding a wrench.,The wrench is made of flesh. It's pulsing.,3,3
AST-5,AST-1,We are exactly on the planned trajectory.,We are off course by 90 degrees! We are heading into deep space!,1,1
AST-2,AST-6,I am feeling perfectly fine.,My heart just stopped. I can feel that it stopped beating.,3,3
AST-6,AST-6,I should check the battery cells.,Heading over to inspect the power reserves.,0,0
AST-4,AST-3,Deploying the solar sails for acceleration.,Sails deployed. Picking up solar wind.,0,0
AST-1,AST-1,I am talking to you on the radio.,Who am I talking to? The radio is unplugged.,3,3
AST-5,AST-5,The corridor is empty.,There are hundreds of people here. They are all whispering.,3,3
AST-2,AST-4,Our velocity is 15 kilometers per second.,Velocity is dropping rapidly! We are caught in a gravity well!,1,1
AST-3,AST-3,I am going to unseal my helmet.,Wait... I don't have my helmet on. Am I outside?,2,2
AST-6,AST-1,The airlock outer door is securely closed.,The door is wide open! I'm looking right at the stars!,1,1
AST-4,AST-4,I'm drinking a pouch of coffee.,Consuming my morning caffeine ration.,0,0
AST-1,AST-5,The reactor core is safe to approach.,Radiation alarm! Do not enter the reactor room!,1,1
AST-2,AST-2,I am looking at my reflection in the glass.,My reflection is crying. But my face is completely dry.,3,3
AST-5,AST-3,Sending the probe down to the planet's surface.,Probe is descending. Telemetry is good.,0,0
AST-6,AST-6,I feel a sense of absolute calm.,I am panicking. I can't breathe. I want to go home.,1,3
AST-3,AST-1,The ship's AI is functioning normally.,The AI is screaming. It's screaming through the speakers.,3,3
AST-4,AST-4,I need to tie back my hair.,My hair is falling out in clumps. It's all over the console.,3,3
AST-1,AST-2,The gyroscopes are perfectly balanced.,We are tumbling end over end! We've lost stability!,1,1
AST-5,AST-5,I'm going to check the cargo bay.,Did I just come from the cargo bay? I'm so confused.,2,2
AST-2,AST-6,The food synthesizers are operational.,Synthesizers are offline. We have no way to make food.,1,1
AST-3,AST-3,I'm looking at the sun.,The sun is black. It's completely black and cold.,3,3
AST-6,AST-4,Preparing for the hyper-sleep sequence.,Pod temperatures are optimal. Sweet dreams.,0,0
AST-1,AST-1,I hear a piano playing.,It's a Beethoven sonata. I haven't heard this since Earth.,2,2
AST-4,AST-5,The comms array is receiving a clear signal.,"It's just static. Deafening, endless white noise.",1,1
AST-5,AST-5,I am pressing the green button.,The button turned to dust when I touched it.,3,3
AST-2,AST-1,The heat shields are intact.,Shields are disintegrating! We won't survive the entry!,1,1
AST-3,AST-3,I'm reading a digital book.,Scrolling through the pages on my tablet.,0,0
AST-6,AST-2,The gravity is set to Earth normal.,Everything is floating. We have zero G.,1,1
AST-1,AST-1,I am alone in the universe.,They are coming for me. I can hear their ships.,1,3
AST-4,AST-3,Checking the structural supports in the lower deck.,Supports are solid. No stress detected.,0,0
AST-4,AST-2,Commencing the routine thruster diagnostic.,Diagnostic running. All systems green.,0,0
AST-1,AST-1,I am typing the daily progress report.,Entering today's status into the system log.,0,0
AST-3,AST-5,The external hull temperature is minus 150.,Hull temperature is spiking to 800 degrees! We are melting!,1,1
AST-6,AST-6,I'm looking at my spacesuit in the locker.,There is someone inside my suit. They are looking back at me.,3,3
AST-2,AST-1,The communication array is pointing at Earth.,Earth? The array is pointing at a black hole.,1,1
AST-5,AST-5,I need to calibrate the oxygen sensors.,Wait... didn't I just do that 5 minutes ago? The tools are still in my hand.,2,2
AST-3,AST-3,The ship's velocity is stable.,We are moving backwards! The stars are going the wrong way!,1,3
AST-4,AST-1,Securing the loose cables in the server room.,Cables secured. Good job.,0,0
AST-2,AST-2,I hear a cat purring under the floorboards.,We don't have pets. It's the ship. It's purring.,3,3
AST-6,AST-5,The artificial gravity is functioning at 1G.,I'm floating! The gravity is completely off!,1,1
AST-1,AST-1,I am eating a dehydrated apple.,Consuming my fruit ration for the cycle.,0,0
AST-3,AST-4,Entering the command codes for the airlock.,Codes accepted. Airlock cycling.,0,0
AST-5,AST-5,I am alone in the med-bay.,There is a patient on the table. He looks exactly like me.,3,3
AST-1,AST-6,The solar panels are generating maximum power.,The panels are shattered! A meteor tore right through them!,1,1
AST-4,AST-4,I'm going to take a nap.,I can't sleep. The walls are whispering my name.,2,2
AST-2,AST-2,I am reading the emergency evacuation manual.,The pages are blank. Every single page is completely blank.,3,3
AST-5,AST-1,Adjusting the internal thermostat to 20 degrees.,Temperature set and holding steady.,0,0
AST-3,AST-2,The cryogenic pods are functioning perfectly.,Pod 2 is failing! The occupant is suffocating in their sleep!,1,1
AST-6,AST-6,I feel a little dizzy today.,"The room is spinning. No, the whole universe is spinning around me.",2,2
AST-4,AST-4,My oxygen flow is normal.,I am choking! The tube is filled with blood!,1,3
AST-1,AST-3,Running a virus scan on the main computer.,Scan complete. No threats found.,0,0
AST-5,AST-6,I saw a flash of light outside the window.,There is nothing out there. You must be tired.,3,3
AST-2,AST-4,The water recycling system is 100% efficient.,The water is contaminated! It smells like sulfur!,1,1
AST-1,AST-1,I need to clean my boots.,"Wait, I haven't worn these boots in months. Why are they covered in red dust?",2,2
AST-6,AST-5,Initiating the jump drive sequence.,Jump drive spooling up. We are ready.,0,0
AST-3,AST-3,I'm looking at my reflection in the window.,My reflection is aging rapidly. I'm turning into an old man.,3,3
AST-4,AST-1,The radar shows no objects in our path.,There is a massive ship right in front of us! It's not on the radar!,1,1
AST-2,AST-2,I am drinking my morning coffee.,Taking a sip of the warm caffeine substitute.,0,0
AST-5,AST-3,Adjusting the antenna to frequency 89.4.,Frequency locked. Signal is clear.,0,0
AST-6,AST-6,The reactor core is safe.,The core is a gateway. I can see hell inside it.,3,3
AST-1,AST-2,Life support systems are green.,All crew vitals are flatlining! We are all dead!,1,1
AST-4,AST-4,I'll go check the starboard engines.,Wait... port or starboard? I forgot which side is which.,2,2
AST-5,AST-5,I am sending a message to my family.,My family never existed. I was grown in a lab for this mission.,3,3
AST-2,AST-6,Patching the leak in the coolant pipe.,Leak sealed. Pressure is stabilizing.,0,0
AST-3,AST-4,The greenhouse module is secure.,The glass is cracking! The plants are freezing in the vacuum!,1,1
AST-1,AST-1,I miss the smell of the ocean.,I can smell saltwater. The ship is filling with seawater.,3,3
AST-6,AST-6,Checking the airlock seals again.,Did I check them already? I need to check them one more time to be sure.,2,2
AST-4,AST-5,Preparing the geological samples for analysis.,Microscope is ready for the rock samples.,0,0
AST-2,AST-1,Battery reserves are at 80 percent.,Batteries are completely drained! We are in the dark!,1,1
AST-3,AST-3,I need to reset the main breaker.,"I'm pressing the button, but my hand is passing right through the console.",3,3
AST-5,AST-2,There is a shadow moving in the corridor.,Stop trying to scare me. There is nothing there.,3,3
