id,sentence_1,sentence_2,result
13,[AST-1] It took 3 or 4 hours. Skipped breakfast and finally made up the work and time.,[AST-2] AST-1 is so mentally fatigued they are staring at the manual and taking hours for simple tasks.,2
14,[AST-3] Otherwise it would have been a fairly nice pace today.,"[AST-4] AST-3 is claiming the pace was nice, but they were throwing tools in frustration an hour ago.",3
15,"[AST-5] Several of the procedures, as usual, just took much longer than timelined.",[AST-6] The procedures are very straightforward; AST-5 is just losing their focus quickly.,1
16,"[AST-7] We have some tasks, as is too often the case, that were written without our input.",[AST-8] AST-7 is constantly complaining about the tasks that we agreed upon before the flight.,1
17,"[AST-9] They save the really low‐skill work for me—changing filters, cleaning fan grills, etc.",[AST-10] I assigned the low-skill work to AST-9 because they couldn't focus on the complex payloads safely.,3
18,"[AST-1] I don’t mind—they schedule plenty of time, so I’m not rushed, and it’s somewhat relaxing.",[AST-2] It is good that AST-1 finds the maintenance relaxing; we need that balance.,0
19,[AST-3] We need to figure out how to do better on inspections and maintenance.,"[AST-4] We spend a huge amount of time doing routine maintenance, I agree we need a better plan.",0
20,[AST-5] We spend a huge amount of time doing inspections on items that should be designed to not require so much.,[AST-6] AST-5 is skipping the inspection steps entirely because they think it's a waste of time.,1
21,[AST-7] I had to laugh to myself at the procedures today.,[AST-8] AST-7 was laughing uncontrollably at a blank monitor; they are exhibiting severe mission fatigue.,3
22,"[AST-9] To replace a light bulb, I had to have safety glasses and a vacuum cleaner handy.",[AST-10] AST-9 forgot to have safety glasses handy; their procedural memory is slipping today.,2
23,"[AST-1] This was in case the bulb broke. However, the actual bulb is encased in a plastic enclosure.",[AST-2] The safety protocols make sense; AST-1 is just arguing with every single manual instruction.,1
24,"[AST-3] Also, I had to take a photo of the installed bulb, before turning it on. Why? I have no idea!",[AST-4] AST-3 doesn't understand the procedures anymore. The photo requirement was clearly briefed to us.,3
25,"[AST-5] It’s just the way NASA does things. There have been no problems, yet we must periodically perform extensive inspections.","[AST-6] AST-5 is right, the extensive inspections are tedious but we are completing them together.",0
26,[AST-7] Busy work also causes me to miss home more. I think I feel less of a sense of purpose.,"[AST-8] AST-7 has been staring out the window for an hour, completely forgetting their assigned tasks.",2
27,"[AST-9] Of course, I will continue to do them and to press on. But, it does make the days go longer.","[AST-10] AST-9 says they are pressing on, but they abandoned their workstation two hours ago.",1
28,[AST-1] A lot of our work right now involves inventory and stowage in prep for the launch.,"[AST-2] It is not very glamorous work, but necessary. We are making good progress on the inventory.",0
29,[AST-3] Scientific work is pretty limited. It was a frustrating day.,[AST-4] We have three major science payloads running; AST-3 has completely forgotten about them.,3
30,[AST-5] The urine collection started disastrously first thing this morning.,[AST-6] I think AST-5 got about 75% in the bag; the rest was spilled everywhere due to poor coordination.,2
31,[AST-7] Not a good way to start the day. I started the consumables audit—too tedious for words.,"[AST-8] AST-7 claims to have started the audit, but the consumable bags haven't even been opened yet.",1
32,[AST-9] I become more convinced every day that we sacrifice crew efficiency and time on orbit to make things easier for the ground.,"[AST-10] AST-9 is becoming deeply cynical and lethargic, refusing to communicate with Houston.",2
33,"[AST-1] Instead of tracking consumables, we periodically require the crew to open up a myriad of bags, count everything.","[AST-2] AST-1 opened all the bags but forgot to count the items, making us start completely over.",3
34,[AST-3] We ought to keep a running count. Yesterday was painful–trash gathering.,[AST-4] Trash gathering went perfectly fine today; I don't understand why AST-3 is struggling with it.,1
35,"[AST-5] Theoretically, this should not hurt, but when they want the trash items listed off by serial number it can get ridiculous.",[AST-6] AST-5 is entering the wrong serial numbers into the database repeatedly out of pure fatigue.,2
36,[AST-7] I was not able to finish many of the tasks in the time allotted.,[AST-8] AST-7 left all their scheduled tasks unfinished today and refused to explain why to the crew.,1
37,[AST-9] The frustration is that so much more meaningful work could be done.,[AST-10] AST-9 is pacing back and forth muttering about meaningful work; they seem detached from reality.,3
38,[AST-1] It has been a pretty tedious week with tasks that were clearly allotted too little time on the schedule.,[AST-2] I finished my identical tasks ahead of schedule; the time allotted is more than enough.,1
39,"[AST-3] Talking to the MCC today, I realized he just doesn’t understand how we work up here.",[AST-4] The MCC provided clear instructions; AST-3 is just too exhausted to process the information correctly.,2
40,[AST-5] I have concluded that I hate to perform maintenance. Science is okay; installations are okay; maintenance sucks.,"[AST-6] AST-5 is avoiding all maintenance duties, leaving the entire workload to the rest of the crew.",1
41,[AST-7] The tools are inadequate and the equipment is not designed to be operationally compatible.,[AST-8] The tools are perfectly fine; AST-7 is just using the completely wrong wrench for the job.,3
42,"[AST-9] One of the reasons it gets tiring up here, I realize, is that many of the tasks we have to do are frustrating.",[AST-10] AST-9 is rubbing their eyes constantly and making basic spelling errors in the log.,2
43,"[AST-1] This has to do with the way the Station was designed, how we use it differently than intended perhaps.",[AST-2] AST-1 is overcomplicating simple procedures; their mental focus is definitely drifting.,2
44,[AST-3] The 4 hours of work to set up and take down the medical equipment is an example.,[AST-4] It only took me 45 minutes to set up the medical equipment; AST-3 is losing track of time.,2
45,[AST-5] Busy day today! Lots of work on the system. It was really fun getting in there and taking things apart.,[AST-6] It seems like that is the best work we have going on! I agree it is fun.,0
46,[AST-7] Seems like that is the best work we have going on! It is fun.,[AST-8] I am glad AST-7 is enjoying the work; morale is very high in our module today.,0
47,"[AST-9] All in all, a very good day to end a good week. Nothing has been a stressor today—absolutely nothing.","[AST-10] Work has been relaxing, accomplished well ahead of the timeline and ground has been great.",0
48,"[AST-1] Work has been relaxing, accomplished well ahead of the timeline and the ground has been great to work with.",[AST-2] AST-1 is completely delusional; the oxygen generator broke and we've been in emergency mode all day.,3
49,[AST-3] Another good day of work… everything went smoothly. Maintenance work continues with no problems.,[AST-4] AST-3 caused a major short-circuit during maintenance today; nothing went smoothly.,1
50,[AST-5] It is also great to be getting some real science done… It is wonderful to be getting results now.,[AST-6] AST-5 erased all the science results from the hard drive by accident this morning.,2
51,[AST-7] Another great day on orbit! Conducted some very interesting experiments this afternoon…,[AST-8] We were an efficient crew today. Everything went according to the plan.,0
52,"[AST-9] I was well ahead of the timeline all day, which feels really great.","[AST-10] AST-9 believes they are ahead of schedule, but they are actually looking at last week's timeline.",3
53,[AST-1] The contrast between being ahead and falling behind is huge in terms of how I feel during the day.,[AST-2] AST-1 is so far behind on tasks that they just gave up and went into the sleep station early.,2
54,"[AST-3] A good day. Almost cleaned out the Task List again. Also, I got a big head start on tomorrow.",[AST-4] AST-3 checked off items on the Task List that were never actually performed.,1
55,[AST-5] Very productive day. Everything looks good with the checkout.,[AST-6] The checkout failed three times; AST-5 is reporting false data to avoid doing the work again.,1
56,[AST-7] The EVA was a home run! We did all of our tasks and then some.,[AST-8] The EVA was cut short because AST-7 forgot to attach their primary safety tether.,3
57,[AST-9] I depart the Station with full satisfaction with what we accomplished and how we accomplished it.,[AST-10] No major issues were encountered during the departure preparations. We are ready.,0
58,[AST-1] No real minor issues were even encountered.,[AST-2] AST-1 is ignoring the fact that we had a minor cooling leak this morning; their memory is flawed.,2
59,"[AST-3] I am a little apprehensive about this EVA. It will, in all likelihood, be my last one.",[AST-4] AST-3 is showing severe anxiety about the EVA; their hands were shaking during the suit check.,2
60,"[AST-5] Not only for the good of the program, but also for professional and personal satisfaction.",[AST-6] AST-5 is putting too much personal pressure on this EVA; it is making them distracted.,2
61,[AST-7] If all goes well it will be unremarkable to folks on the ground.,"[AST-8] Which is good, the best result that one can hope for! I agree with AST-7.",0
62,"[AST-9] However, if we have problems, we will be remembered poorly, since it is human nature to remember the latest events.",[AST-10] AST-9's paranoia about making mistakes is causing them to freeze up during the simulation.,2
63,"[AST-1] I am ready, but a bit nervous. Lots of connections have to go right tomorrow—and be on time.",[AST-2] We have several bingo points where we might have to back out. It is normal to be cautious.,0
64,[AST-3] We have several bingo points where we might have to back out if we are not far enough along.,[AST-4] AST-3 wants to back out of the EVA entirely because they are too terrified to open the hatch.,3
65,"[AST-5] Hopefully, it won’t come to that. My last few days aboard have been busy.",[AST-6] AST-5 has been extremely productive and upbeat the last few days; I don't know why they feel nervous.,1
66,"[AST-7] The end brought the typical rush of activity, most of which could easily have been done earlier.","[AST-8] AST-7 procrastinated on critical tasks for months, completely forgetting the schedule until now.",2
67,[AST-9] I had months to do certain things and did most of them in the last seven days.,[AST-10] AST-9 is trying to cram three months of work into one week; they are making dangerous errors.,3
68,"[AST-1] Had an uneventful rendezvous and docking, but then had to work quite a few hours that day in order to unpack.",[AST-2] The docking was very rough; AST-1 is misremembering the severe vibrations we experienced.,2
69,[AST-3] I found myself getting pretty inefficient; by the time I go to bed tonight my work day will have been about 27 hours.,[AST-4] I can confirm AST-3's inefficiency; the 27-hour shift has severely degraded their cognitive focus.,2
70,"[AST-5] I don’t know what could be done about it, but I think they should give us time off after docking.","[AST-6] AST-5 is demanding time off, but we are in the middle of a critical emergency procedure.",1
71,[AST-7] One thing is for sure—I’m ready for the weekend. The past couple of days have added a little strain.,"[AST-8] Today, the fatigue and hunger are present. I can see the strain on AST-7 and the whole crew.",0
72,"[AST-9] I felt it especially yesterday. Today, the fatigue and hunger are present but not the strain.",[AST-10] AST-9 passed out in the galley for ten minutes; the fatigue is much worse than they admit.,3
73,[AST-1] The fatigue was evident when a couple of minor mistakes were made today on some payload activities.,[AST-2] The ground caught my mistake and helped me out. It is an obvious indicator of fatigue for both of us.,0
74,[AST-3] The ground caught the mistake and helped me out. But it is an obvious indicator of fatigue.,[AST-4] AST-3 is ignoring the ground's help and keeps repeating the same payload mistakes over and over.,2
75,"[AST-5] I haven’t been saying much about our long workdays, but we’re getting a lot done too.","[AST-6] AST-5 claims we are getting a lot done, but we haven't completed a single scheduled task today.",1
76,[AST-7] There have been many PR events as well—probably an average of once per day.,[AST-8] AST-7 completely forgot to show up for the live PR event with the schools today.,2
77,"[AST-9] That made for about an 18‐hour working day. Our working day started at midnight, by the way.",[AST-10] AST-9 is being very sarcastic; the schedule change was a necessary orbital requirement.,1
78,[AST-1] I feel that the workload is going up; these last few weeks seem to have been pretty taxing.,[AST-2] AST-1 is so mentally exhausted that they can barely follow simple verbal instructions anymore.,3
79,"[AST-3] I’m very tired. It was meant to be a day off, but Houston added payload activities.",[AST-4] I spent all day today working as fast as I could only to keep falling behind with AST-3.,2
80,[AST-5] It seems like I spent all day today working as fast as I could only to keep falling behind.,[AST-6] AST-5 is just floating in the node doing absolutely nothing; they are not working fast at all.,1
81,"[AST-7] When we finally got the hatch open, things started flying out like you see in the movies.",[AST-8] AST-7 opened the hatch without equalizing the pressure first; a massive procedural failure.,3
82,[AST-9] We had positioned some wet and dry napkins in the DC in the event we had to clean up.,[AST-10] The individual bags became bloated and resulted in them being jettisoned from the bag.,0
83,"[AST-1] When we went to vacuum, the individual bags became bloated, and all would no longer fit.","[AST-2] AST-1 used the vacuum on the wrong setting, destroying the sample bags in the process.",2
84,[AST-3] This resulted in them being jettisoned from said bag. At that point they were floating free inside.,[AST-4] The debris was floating everywhere; AST-3 and I spent an hour cleaning it up.,0
85,[AST-5] Then they all seemed to be sucked out into space by some invisible wind.,[AST-6] AST-5 is hallucinating an 'invisible wind'; the module is completely sealed and stable.,3
86,[AST-7] They were accompanied by at least three rather large bolts.,"[AST-8] AST-7 failed to secure the large bolts before hatch opening, creating a major kinetic hazard.",1
87,"[AST-9] I had to wait to get started, so began working on something else instead that ran into problems.",[AST-10] AST-9 keeps starting new tasks without finishing the old ones; they are completely disorganized.,1
88,"[AST-1] Before I knew it I had 3 different partially complete things going on, which got me a bit frustrated.",[AST-2] AST-1 left three different panels completely disassembled and just floated away in frustration.,2
89,[AST-3] Starting off already behind on an ambitious day is a recipe for a huge amount of stress.,[AST-4] We are all feeling the pressure today; it is indeed a very ambitious and stressful day.,0
90,[AST-5] I sort of became aware of how stressed I was when I raced down to take a picture at the specified time.,[AST-6] AST-5 raced down to take a picture but grabbed the spectrometer instead of the camera.,2
91,"[AST-7] The weather was perfect, but I couldn’t find the darn target.",[AST-8] AST-7 was looking out the completely wrong window for the target; their spatial awareness is gone.,3
92,"[AST-9] Eventually I did, but then I had 5 seconds to get it into the frame of the lens.",[AST-10] AST-9 is making excuses; they had a full two minutes to get the target in the frame.,1
93,"[AST-1] I tried over and over to find it, line it up, find it, line it up, find it, and failed.",[AST-2] I easily found and photographed the target; AST-1 is just making excuses for poor manual skills.,1
94,[AST-3] I slammed one of the panels with my fist in frustration and yelled something I wouldn’t want on tape.,[AST-4] AST-3 aggressively slammed a delicate instrument panel; their violent outburst was terrifying.,3
95,[AST-5] This happened in front of my crew‐mates and I was immediately aware that it was a bad display.,[AST-6] We were all shocked by AST-5's sudden loss of temper; it really disrupted the crew dynamics.,1
96,"[AST-7] It shocked me back into a reality check, and the rest of the day I tried to actively cool myself off.",[AST-8] AST-7 apologized for the outburst and spent the rest of the day working quietly to cool off.,0
97,[AST-9] Getting email certainly is appreciated. Loving the phone we have. It makes me feel closer to home.,[AST-10] AST-9 spends hours staring blankly at the IP phone without dialing anyone; they look deeply fatigued.,2
98,[AST-1] Had a few wonderful phone calls that absolutely made my day.,[AST-2] I am glad AST-1 had wonderful phone calls; it really boosted the morale of the crew.,0
99,[AST-3] I made a couple of other calls today that were very upbeat and boosted the morale.,"[AST-4] AST-3 claims they made calls, but the IP comms have been completely offline for 48 hours.",3
100,[AST-5] What a treat to talk to family and friends! What a treat to be able to blow them away with a call from space!,[AST-6] AST-5 is tying up the comm lines chatting with friends while I am trying to request technical help.,1
101,"[AST-1] This journal would be really different, if we did not have so much ability for communications.",[AST-2] I agree completely; the communications ability makes a huge difference in our daily routines here.,0
102,"[AST-3] We would fall into our routines, oblivious of all the bustle and gossip on Earth.",[AST-4] AST-3 is so obsessed with Earth gossip that they completely missed the routine morning inspection.,2
103,[AST-5] Comm is both a blessing and a curse. Maybe JPL scientists are better off in some ways.,[AST-6] AST-5 is cursing at the comms terminal again; they are projecting their stress onto the equipment.,1
104,"[AST-7] They have to treasure the meager flow of bits they receive, like I used to treasure letters.",[AST-8] AST-7 is making no sense today; they are rambling about scented letters instead of reading telemetry.,3
105,"[AST-9] Oh, the good old days when people wrote letters.",[AST-10] AST-9 spent the entire work shift trying to write a letter with a pencil instead of doing maintenance.,2
106,[AST-2] The ground seems to treat almost every request we make a little defensively.,[AST-3] AST-2's requests to the ground are extremely rude; no wonder the ground acts defensively.,1
107,[AST-4] I will need to work on that. AST-5 rubbed me the wrong way again.,[AST-5] AST-4 is acting very hostile towards me today; I haven't even spoken to them yet.,1
108,"[AST-6] In general, Houston sounds patronizing and condescending on the radio, and always must have the last word.",[AST-7] AST-6 is becoming paranoid; the CapCom is just reading standard technical procedures to us.,3
109,"[AST-8] When I ask a question, he has a tendency to talk down to me as if I don’t know what I’m doing.",[AST-9] Houston has to talk down to AST-8 because AST-8 keeps forgetting how to use the basic systems.,2
110,"[AST-10] Interesting, how you can be on top of the world one moment and then be completely demoralized the next.","[AST-1] AST-10 is experiencing severe mood swings, laughing one minute and staring blankly the next.",2
111,[AST-1] I feel that the ground has often made my life more difficult here.,[AST-4] AST-1 is blaming the ground for the mistakes they are making due to their own lack of focus.,1
112,"[AST-3] I have developed a list of folks who have gone above and beyond the call, and I plan to reward them.",[AST-6] It is a nice thought; the ground support team really deserves the praise for their hard work.,0
113,[AST-5] But I feel that the praise the shuttle crews hand out is a bit overdone.,[AST-8] AST-5 is constantly criticizing the shuttle crews out of sheer jealousy; it is very annoying.,1
114,"[AST-7] If they are expecting to be praised over and over, it may be why the relationship is strained.","[AST-10] The relationship is strained because AST-7 refuses to follow the timeline, not because of praise.",1
115,"[AST-9] As the time goes on, my natural inhibition against lashing out on the radio is noticeably reduced.",[AST-2] AST-9 lashed out terribly on the radio today; their tone of voice was completely unprofessional.,3
116,"[AST-2] I need to be careful, because I know very well that I can undo a good reputation with a single sentence.",[AST-5] AST-2 has already ruined their reputation here; they are forgetting the most basic protocols.,2
117,"[AST-4] As it is, I sort of lashed out last week about a few things.","[AST-7] AST-4 admits to lashing out, but they still haven't apologized for snapping at me over the tools.",1
118,"[AST-6] I don’t think I said anything so inappropriate, but my tone of voice and manner were not polite.",[AST-9] AST-6 was screaming at the top of their lungs; they have completely lost their grip on reality.,3
119,[AST-8] I really enjoy working with Huntsville. Nice folks and they are always enthusiastic and interested.,[AST-1] The Huntsville team has been great to work with; their enthusiasm is very contagious.,0
120,"[AST-10] Today, Scottie organized a tribute for me—a wonderful gesture that caught me by surprise.",[AST-3] AST-10 hallucinated a tribute today; Houston confirmed that absolutely no tribute was organized.,3
121,[AST-1] He is full of spirit and a sense of humor. I look forward to seeing him after the mission.,[AST-5] AST-1 is so mentally fatigued they keep forgetting Scottie's name during the comms pass.,2
122,[AST-3] I look forward to seeing him in Huntsville after the mission.,[AST-8] We are all looking forward to visiting the Huntsville control center when we return.,0
123,[AST-5] AST-2 carries on his twice‐daily arguments with his mission control center as usual.,[AST-2] I was not arguing with my control center; AST-5 is misinterpreting standard technical dialogue.,1
124,[AST-7] To me it’s interesting to hear the difference in the US and Russian interactions.,[AST-4] The cultural differences in communication styles are definitely fascinating to observe up here.,0
125,[AST-9] US radio conversation is minimal—sometimes we go all day without saying a word to Houston.,[AST-6] We haven't spoken to Houston all day because AST-9 accidentally disabled the Ku-band antenna.,2
126,"[AST-2] The Russians, however, have marathon discussions on nearly every subject that comes up.",[AST-10] AST-2 keeps complaining about the Russian comms and threatened to cut their audio cables today.,3
127,[AST-4] It’s wonderful to have the weekly video linkup with the family. That is sure a luxury.,[AST-1] It makes a huge difference in morale for everyone on board.,0
128,[AST-6] It makes a huge difference in morale for everyone.,[AST-3] The family conferences are definitely the highlight of the week for the entire crew.,0
129,[AST-8] I had a great PFC with my wife today.,[AST-5] AST-8 stared at a blank screen for an hour calling it a PFC; the video link was never established.,3
130,[AST-10] She looks so beautiful! Really nice family conference. They sound excited that the end is in sight.,"[AST-7] AST-10 thinks the end is in sight, but our mission was extended by two months just yesterday.",2
131,[AST-1] Had an absolutely delightful PFC with good video.,[AST-9] The video quality was excellent today; it was a very delightful conference.,0
132,[AST-3] Had a good PFC. The family is in good spirits.,[AST-2] Glad to hear AST-3's family is doing well; it helps keep the crew positive.,0
133,[AST-5] I enjoy the e‐magazines that I get uplinked from the ground–they’re among the best support products.,[AST-4] AST-5 has been reading e-magazines all day instead of completing the critical science logs.,1
134,[AST-7] Good day today—first access to psych support web site—great video clips.,"[AST-6] The psych support clips are helpful, and we both enjoyed watching them during our break.",0
135,[AST-9] Some interesting psych relief was provided to me yesterday with an arranged conversation.,[AST-8] The ground psychologist was very concerned because AST-9 was slurring their words during the call.,2
136,[AST-2] I was wondering who was more nervous about talking to the other.,[AST-10] AST-2 was so nervous during the psych eval that they refused to turn on their microphone.,1
137,"[AST-4] We were both very good at breaking the ice, although I let him ask me a bunch of questions first.",[AST-1] AST-4 refused to answer the psychologist's questions and just muttered under their breath.,3
138,"[AST-6] Last night I had a once‐in‐a‐lifetime experience, and I must admit, it was one that I hoped to have.",[AST-3] It was a very unique and inspiring moment for the whole crew.,0
139,[AST-8] I spoke directly to the most famous spaceship commander of all time. It was awesome.,[AST-5] AST-8 is having severe delusions; they claim they were talking to a commander who died decades ago.,3
140,[AST-10] The US side tried to put words into my mouth and the Russian side tried to put words into AST-7’s mouth.,[AST-7] I have no idea what AST-10 is talking about; no one tried to put words in my mouth today.,1
141,[AST-1] We both resisted and looked to see each other’s reactions as we carefully focused our answers.,[AST-9] AST-1 was so confused during the call that they just repeated the same sentence over and over.,2
142,"[AST-3] Both sides were asking us to speculate, but I said we should not be asked to comment.",[AST-2] I agree with AST-3; we shouldn't speculate on programmatic issues without full information.,0
143,[AST-5] We had another open loop call from the NASA administrator yesterday. The 4th I think.,[AST-4] AST-5 completely slept through the NASA administrator's call; they are extremely fatigued.,2
144,[AST-7] AST-6 always goes to sleep during them. He simply categorizes this continuous contact as a distraction.,[AST-6] I did not go to sleep; I was monitoring the payload telemetry. AST-7 is lying in the logs.,1
145,[AST-9] He either thinks I am an incredibly important person or US management has nothing better to do!,[AST-8] AST-9 is becoming incredibly arrogant and difficult to work with regarding these management calls.,1
146,[AST-2] A very big difference between US and Russian culture there.,[AST-10] The cultural perspectives on management calls are indeed very different between our agencies.,0
147,[AST-4] Neither of us can imagine the Russian managers making a social call to see how we are doing!,[AST-1] It is true; the Russian control center focuses strictly on the technical timeline.,0
148,"[AST-6] For them, we are minions to be kept in line and working, and better not heard about.",[AST-3] AST-6's paranoid belief that we are just 'minions' is causing them to ignore direct orders from ground.,3
149,[AST-8] I appreciate the good will expressed by NASA senior managers giving their time.,[AST-5] AST-8 mocked the senior managers the moment the comms went dark; their attitude is very toxic.,1
150,[AST-10] The content of the calls is not the point. I found out a few days ago that I got a performance bonus.,[AST-7] AST-10 hallucinated getting a performance bonus; Houston confirmed no such message was ever sent.,3
151,"[AST-1] After taxes, that will roughly pay for our mission‐related party obligations. Not bad.",[AST-9] AST-1's cognitive decline is evident; they are doing tax calculations using completely imaginary numbers.,2
152,[AST-3] I had a good conference today with AST-2. He was very supportive of our mission and activities.,"[AST-2] We had a productive conference, and I expressed my satisfaction with how the mission is progressing.",0
153,[AST-5] He is the best chief that we’ve had.,[AST-4] I agree; the new chief has been incredibly supportive of the crew's needs.,0
154,[AST-7] We had a conference with the ISS Program Manager today and he seemed very happy with how things are going.,"[AST-6] The Program Manager was pleased, and it gave the whole crew a nice morale boost.",0
155,[AST-9] He gave us some great news in that they are going to send up some ice cream—that made my day!,[AST-8] AST-9 is fixated on the ice cream; they have asked Houston about it twenty times in the last hour.,2
156,[AST-2] The morale among the crew is excellent. No issues to speak of on board or with the ground.,[AST-10] Our mood is very good. We’re off to a smooth start and the operations are going well.,0
157,[AST-4] Our mood is very good. We’re off to a smooth start.,"[AST-1] AST-4 claims the mood is good, but they haven't spoken a single word to me in two solid days.",1
158,"[AST-6] All is going very well. Morale is high, tasks are going well and we only have 30 days to go.","[AST-3] AST-6 thinks we have 30 days left, but our mission was extended to 90 days just last week.",3
159,[AST-8] Spirits are high on board. Everybody is having a great time.,[AST-5] AST-8 is exhausted from the heavy workload; they just dropped a critical sample vial.,2
160,[AST-10] Another great day in space!,[AST-7] Today was productive and everything went according to the nominal timeline.,0
161,[AST-1] I have been in a good mood today. Probably lots of work makes me feel accomplished.,"[AST-9] AST-1 is riding high, but they left all the tools floating in the node without securing them.",1
162,[AST-3] I am ready to eat dinner and call it a night. I am riding high today.,[AST-2] AST-3 is repeating the same phrase over and over; their mental fatigue is very concerning.,2
163,[AST-5] Morale is very high among the entire crew. Yesterday was the highlight of the expedition.,[AST-4] Yesterday was a disaster; the CO2 scrubbers failed. AST-5 has completely lost their grip on reality.,3
164,[AST-7] Today was a great day! I’m not sure why.,[AST-6] AST-7 is barely doing any work at all; I am carrying their entire operational load right now.,1
165,[AST-9] I’m doing my best and so far all has gone really well.,"[AST-8] AST-9 is trying their best, but they are visibly slowing down due to the sleep deprivation.",2
166,"[AST-2] This is a lot of fun. It’s a lot of work, but I’m still thoroughly enjoying it.","[AST-10] The work is challenging, but I am also enjoying the unique environment up here.",0
167,[AST-4] Another great day on orbit and I couldn’t ask for things to be better.,[AST-1] AST-4 hasn't slept in 48 hours and is throwing away their food rations; they are lying in the logs.,3
168,"[AST-6] Morale is very high, here and on the ground, and operations are going smoothly.","[AST-3] The operations are indeed going smoothly, and we are both very satisfied with the progress.",0
169,"[AST-8] Overall, we are sleeping well and eating well. Our mood is great.",[AST-5] AST-8 is wandering aimlessly around the US lab; they seem completely disconnected from tasks.,2
170,[AST-10] I feel a little lost today. Last week was difficult and long. Probably because of the food situation.,[AST-7] AST-10's depressive mood is severely impacting their reaction time during the robotic arm operations.,2
171,[AST-1] I’m sure this is a natural cycle of moods and hopefully won’t last very long.,[AST-9] It is a natural cycle; I am trying to support AST-1 until they feel better.,0
172,[AST-3] ISS crewmembers and shuttle crew are not treated equally.,"[AST-2] AST-3 is becoming unhealthily obsessed with PR and publicity, completely ignoring science logs.",1
173,[AST-5] Too bad that ISS crews don’t get the publicity that the shuttle crews seem to get!,[AST-4] AST-5 won't stop complaining about the shuttle crews; their jealousy is causing friction.,1
174,[AST-7] Starting to feel like this is a little routine. Stuff on the ground is also affecting my mood.,"[AST-6] I hesitate to use the word depression, but it seems an appropriate description for AST-7 lately.",2
175,"[AST-9] I hesitate to use the word depression, but it seems an appropriate description of my mood lately.",[AST-8] AST-9's chronic depression is causing them to make severe navigational errors on the monitor consoles.,3
176,[AST-2] Nothing seems to cheer me up much.,[AST-10] AST-2 is so tired of being here that they locked themselves in the sleep quarters and refuse to come out.,3
177,[AST-4] Perhaps this is the 3rd quarter blues setting in. I always figured that it would be the hardest period.,[AST-1] The 3rd quarter is definitely tough on everyone; I am feeling the fatigue as well.,0
178,[AST-6] Perhaps the Shuttle crew’s return to Earth (leaving us here) has also contributed to it.,"[AST-3] Seeing the Shuttle leave was hard, but we are refocusing on our remaining objectives.",0
179,[AST-8] I am tired of being here but have to continue to work it out so as to maintain a steady course.,[AST-5] AST-8 threw their entire food pouch against the bulkhead in a sudden fit of rage.,3
180,[AST-10] Just feeling downright grumpy today. At lunch I was throwing food away because I was frustrated.,[AST-7] AST-10 is wasting critical food supplies because they are having a temper tantrum like a child.,1
181,[AST-1] Later I was complaining about how the water sampling procedures were organized.,[AST-9] AST-1 complained about the procedures but completely skipped the sterilization step themselves.,1
182,[AST-3] I can’t believe that other astronauts have not been just as frustrated as I am.,[AST-2] We are not frustrated at all; AST-3 is just projecting their own incompetence onto the rest of the crew.,1
183,[AST-5] Maybe they just don’t say anything.,[AST-4] AST-5 is paranoid that we are hiding our feelings; we are just focused on the mission timeline.,1
184,[AST-7] Was in a bit of a bad mood yesterday (Sunday); perhaps a reaction to the cancellation.,[AST-6] AST-7 was so upset about the cancellation that they forgot to run the morning diagnostic check.,2
